NSID,W1GrssyrMP,W1yschat1,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualdad,W1wrkfulldad,W1wrkfullmum,W1empsdad,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,W1IndSchool,W1marstatmum,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W2ghq12scr,W2disc1YP,W2depressYP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6DebtattYP,W8DDEGP,W8DGHQSC,W8DMARSTAT,W8DACTIVITYC,W8DWRK,W8CMSEX,W8TENURE,W8QMAFI,W8GROW
NS25668T,60144,40,1,1,2,0,1,2,1,2,1,2,1,0,0,1,1,0,2,0,-94,1,1,4,2,1,1,3,3,2,2,2,1,-91,-91,1,4,4,2,11,1,0,1,1,1,2,4,2,-8
NS19554Q,21600,16,2,1,2,1,1,1,1,4,1,2,1,0,0,2,0,0,2,0,2,1,4,5,1,1,1,1,1,2,1,1,1,-91,-91,1,4,4,2,15,-1,2,1,1,1,2,1,1,-8
NS13019H,15392,33,1,1,2,0,1,2,1,-98,-98,1,-98,0,0,1,0,0,5,1,3,4,2,2,-1,2,1,3,0,1,2,2,2,1,2,4,4,2,2,12,0,0,1,1,1,1,4,2,-8
NS16002S,9500,39,2,1,2,0,1,2,1,2,1,2,1,0,0,1,1,0,2,0,1,1,1,5,2,1,2,3,10,2,4,1,1,-91,-91,1,4,4,2,16,1,3,1,5,2,2,5,3,-8
NS22134H,6406.4,36,2,1,2,1,1,2,1,4,1,2,1,0,1,2,1,0,2,0,2,4,2,5,2,2,1,3,1,2,1,2,2,1,2,9,4,4,2,11,-1,1,1,1,1,1,7,3,-8
NS17072A,5460,35,2,1,2,1,1,2,1,4,1,2,1,0,1,1,0,0,2,0,1,1,-1,3,2,2,2,3,0,2,2,1,2,1,1,9,4,4,2,12,-1,2,1,1,1,2,7,2,-8
NS19797B,3827.2,30,2,1,1,0,1,5,2,-98,-98,2,-98,0,0,1,0,0,1,1,5,1,3,-91,2,2,2,3,0,2,1,1,2,1,2,9,4,4,2,7,-1,2,1,1,1,1,4,2,-8
NS12480Y,-1,28,2,1,2,1,1,2,1,7,1,2,1,0,1,1,0,0,2,0,1,1,2,4,2,2,1,3,0,2,1,1,2,2,2,9,4,4,2,14,1,0,1,1,1,1,7,1,-8
NS12537K,-91,43,12,1,1,1,1,2,1,13,1,3,1,0,0,2,0,0,2,0,5,1,1,4,2,1,1,3,1,2,2,1,2,2,2,3,4,1,2,17,-1,5,1,1,1,1,7,3,-8
NS21367D,-91,23,10,1,2,2,1,2,1,14,1,3,1,1,1,1,0,0,2,0,7,1,1,-91,1,1,1,3,5,2,4,1,2,2,2,9,4,4,2,12,-1,5,1,1,1,1,4,3,-8
