NSID,W1GrssyrMP,W1yschat1,W1wrk1aMP,W1condur5MP,W1hea2MP,W1NoldBroHS,W1InCarHH,W1hous12HH,W1usevcHH,W1hiqualmum,W1wrkfulldad,W1wrkfullmum,W1ch0_2HH,W1ch3_11HH,W1ch12_15HH,W1ch16_17HH,W1IndSchool,W1marstatmum,W1famtyp2,W1nssecfam,W1ethgrpYP,W1heposs9YP,W1hwndayYP,W1truantYP,W1alceverYP,W1bulrc,W1disabYP,W2ghq12scr,W2disc1YP,W2depressYP,W6JobYP,W6UnivYP,W6EducYP,W6Apprent1YP,W6acqno,W6gcse,W6als,W6OwnchiDV,W6DebtattYP,W8DDEGP,W8DGHQSC,W8DAGEYCH,W8DMARSTAT,W8DACTIVITYC,W8DWRK,W8CMSEX,W8TENURE,W8QMAFI,W8GROW,W8PUSA
NS10598M,8221.2,42,1,1,2,2,1,2,1,8,1,1,0,1,2,0,0,5,0,5,1,2,1,2,2,2,3,1,2,1,1,2,2,2,9,4,4,2,14,0,1,0,1,2,1,1,4,2,-1,0
NS16122J,-91,29,9,2,1,3,1,4,1,20,3,3,0,2,2,0,0,2,0,8,4,2,3,2,2,2,3,0,2,1,2,2,1,2,8,4,3,2,10,0,0,-1,2,4,2,2,4,2,-1,0
NS16672S,-999,29,2,1,1,3,1,4,2,20,2,3,0,2,2,0,0,2,0,4,5,-1,2,2,2,2,3,0,2,2,2,2,2,2,9,4,4,-94,8,-1,1,0,2,4,2,2,4,2,-1,0
NS18631E,4420,26,2,2,1,2,1,5,1,15,-98,2,0,0,2,0,0,1,1,7,1,4,1,1,2,2,1,1,2,-1,2,2,2,2,9,4,4,1,16,-1,0,9,1,1,1,2,4,2,138.57,0
NS26050Y,-91,28,9,2,1,1,1,4,2,16,3,3,1,1,2,1,0,2,0,4,1,3,2,1,1,1,3,3,2,3,1,2,2,2,9,4,4,2,10,0,3,-1,1,1,1,2,4,3,239.49,0
NS20012Y,36000,31,1,1,2,0,1,2,1,15,1,1,0,0,2,0,0,3,0,2,1,2,2,2,2,1,3,4,2,2,2,1,-91,-91,1,4,4,2,15,-1,0,-1,1,1,1,2,4,3,323.33,0
NS20966V,55000,40,1,1,2,1,1,2,1,2,1,3,0,0,2,0,0,2,0,2,1,1,0,2,2,1,3,0,2,1,2,1,-91,-91,1,4,4,2,10,-1,0,-1,1,1,1,1,4,1,384.99,0
NS16040T,8000,35,3,1,2,0,1,2,1,8,1,1,0,0,1,1,0,2,0,-99,1,3,5,2,2,1,3,8,2,3,1,2,1,2,2,4,4,-94,9,0,5,-1,1,1,1,2,2,2,413.46,0
NS13259Q,14006.72,31,1,1,1,1,1,1,1,19,-98,1,0,1,1,0,0,6,1,3,1,2,3,2,2,1,3,0,2,-1,1,2,1,2,9,4,4,2,11,1,4,-1,1,1,1,1,7,2,461.89,0
NS20017D,11400,31,1,1,2,1,1,5,2,5,-98,1,0,0,2,1,0,1,1,5,2,2,2,2,2,2,3,0,2,1,1,1,-91,-91,1,4,4,2,14,0,1,-1,1,1,1,2,2,1,500,0
NS12073Y,5616,28,2,1,2,1,1,2,1,15,1,2,0,1,1,0,0,2,0,2,1,3,5,2,2,2,3,0,2,2,1,2,2,2,9,4,4,2,3,0,1,-1,1,1,1,2,2,2,519.23,0
NS13203L,-91,34,10,1,2,1,1,2,1,15,1,3,0,1,2,1,0,2,0,2,1,4,5,2,1,2,3,0,2,1,1,2,1,1,9,4,4,2,10,0,0,-1,1,1,1,2,2,1,625,0
NS25458V,-1,33,2,1,2,2,1,2,1,15,1,2,0,1,2,0,0,2,0,3,1,2,1,2,1,1,2,5,2,3,2,2,2,2,9,4,4,2,16,0,2,-1,1,1,1,1,4,3,1049.42,1
NS13672F,-91,32,9,1,1,0,1,4,2,20,3,3,0,0,1,0,0,2,0,8,5,2,-91,1,1,2,3,2,1,1,2,2,1,2,3,4,1,2,12,0,0,-1,2,1,1,1,1,1,0.6,35
NS21961K,-91,45,10,1,2,1,1,1,1,20,1,3,0,1,1,0,0,2,0,5,1,3,5,2,1,1,2,0,2,2,1,2,2,2,4,4,2,2,14,-1,0,2,1,1,1,2,4,2,52,52
NS25407W,13468,38,1,1,2,0,1,1,1,14,2,1,0,0,1,0,0,2,0,2,1,-1,1,2,2,2,3,0,2,1,1,2,2,2,9,4,4,2,12,-1,0,1,2,1,1,1,2,2,461.54,70
NS11096V,-1,28,1,1,2,2,1,2,1,16,1,1,0,1,2,0,0,2,0,7,1,3,2,2,1,1,3,2,2,2,1,2,2,2,9,4,4,2,10,-1,0,2,1,1,1,2,4,3,174,80
NS25663N,-91,38,10,1,2,1,1,4,2,20,3,3,0,0,3,1,0,2,0,4,5,2,3,2,2,1,3,0,2,1,2,1,-91,-91,1,4,4,2,13,0,5,4,2,9,2,2,4,3,-1,100
NS19486Z,-91,40,10,1,1,1,1,1,1,20,3,3,0,0,3,1,0,2,0,8,4,2,3,2,2,2,3,2,2,1,2,2,2,2,3,4,1,1,10,-1,4,0,2,9,2,2,4,3,-1,104
NS20603S,3588,33,2,1,2,1,1,2,1,15,1,2,0,1,2,0,0,3,0,7,1,1,-91,1,1,2,3,0,2,2,2,2,2,2,9,4,4,2,11,0,6,0,1,8,2,1,4,3,-1,106
NS21115Z,-91,36,5,2,2,2,1,2,1,20,3,3,0,1,2,0,0,2,0,7,4,2,3,2,2,2,3,-92,2,3,1,2,2,2,9,4,4,2,15,-1,0,3,2,1,1,2,2,1,87.76,110
NS25012B,10334.48,15,1,1,1,3,1,5,1,15,3,1,0,2,2,0,0,2,0,6,1,4,-91,1,1,2,3,1,2,1,2,2,1,2,6,2,4,2,7,-1,0,1,1,2,1,1,4,5,-1,115
NS22864G,-99,45,-99,-99,-99,-99,1,2,2,-99,1,3,0,2,1,0,0,2,0,-99,5,1,5,2,2,2,-99,0,2,2,2,2,2,2,9,4,4,2,14,-1,0,1,2,9,2,2,2,3,-1,120
NS17042R,-91,27,10,2,1,2,1,4,2,9,1,3,1,1,1,0,0,2,0,6,1,2,-91,2,1,2,3,0,2,1,2,2,1,2,9,4,4,2,8,-1,3,4,1,1,1,1,4,1,490,130
NS16846S,-91,18,10,1,2,1,1,5,1,20,3,3,0,0,3,0,0,3,0,6,1,3,-91,1,1,1,3,7,2,3,2,2,2,2,9,4,4,1,9,-1,0,1,2,1,1,2,4,3,451,140
NS22899W,-92,36,3,1,2,6,1,1,1,20,1,3,1,5,1,0,0,2,0,4,5,2,4,2,2,-1,3,0,1,2,2,2,1,2,3,4,1,2,12,-1,1,0,2,5,2,2,4,5,-1,150
NS17644G,9880,28,2,1,2,1,1,2,1,15,1,2,0,1,1,0,0,2,0,6,1,4,2,2,2,2,3,5,2,3,2,2,2,2,9,4,4,1,11,-1,0,3,1,1,1,1,4,3,240,150
NS19022T,6279,39,2,2,2,0,1,2,1,14,1,2,0,0,1,1,0,2,0,4,1,3,3,1,1,2,3,1,2,2,1,2,2,2,9,4,4,2,4,0,0,-1,1,1,1,2,7,1,267.67,150
